Manufacturer,Type,Serial Number,Description,Measured Quantity,Nominal sensitivity,Actual sensitivity,Sensitivity unit,Offset,Electrical Unit,Polarity,Due for Calibration,Calibration valid for
B&K,Accelerometer,128816,4333,Acceleration,16,15.51242136,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128834,4333,Acceleration,16,17.29102121,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128860,4333,Acceleration,16,13.5246409,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128867,4333,Acceleration,16,15.05840232,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,225206,4344,Acceleration,2,1.881964567,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,225492,4344,Acceleration,2,1.716997527,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,225536,4344,Acceleration,2,1.87120145,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,31510,4393,Acceleration,3.1,3.142292298,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31514,4393,Acceleration,3.1,3.115243986,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,31517,4393,Acceleration,3.1,3.103200913,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31518,4393,Acceleration,3.1,3.120674892,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31519,4393,Acceleration,3.1,3.161106681,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31520,4393,Acceleration,3.1,3.163328374,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31521,4393,Acceleration,3.1,3.177708333,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31522,4393,Acceleration,3.1,3.167670766,pC/g,0,pC,+,03/05/2014,12
B&K,Accelerometer,31523,4393,Acceleration,3.1,3.07930169,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31523,4393,Acceleration,3.1,3.07930169,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31525,4393,Acceleration,3.1,3.159488524,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31528,4393,Acceleration,3.1,3.097737272,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31529,4393,Acceleration,3.1,3.146785339,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31530,4393,Acceleration,3.1,3.121304112,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31701,4393,Acceleration,3.1,3.100387689,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31702,4393,Acceleration,3.1,3.127034546,pC/g,0,pC,+,03/05/2014,12
B&K,Accelerometer,31703,4393,Acceleration,3.1,3.101169978,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31704,4393,Acceleration,3.1,3.089560463,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31705,4393,Acceleration,3.1,3.090961136,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31707,4393,Acceleration,3.1,3.118572773,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31709,4393,Acceleration,3.1,3.117109518,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31710,4393,Acceleration,3.1,3.141798526,pC/g,0,pC,+,26/07/2014,12
B&K,Accelerometer,31711,4393,Acceleration,3.1,3.084295447,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,31714,4393,Acceleration,3.1,3.113170154,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31715,4393,Acceleration,3.1,3.152696096,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33372,4393,Acceleration,3.1,3.098687705,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33373,4393,Acceleration,3.1,3.132402626,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33374,4393,Acceleration,3.1,3.09091685,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33375,4393,Acceleration,3.1,3.110369111,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33376,4393,Acceleration,3.1,3.141439066,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33377,4393,Acceleration,3.1,3.107209767,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33378,4393,Acceleration,3.1,3.08784571,pC/g,0,pC,+,06/06/2014,12
B&K,Accelerometer,33383,4393,Acceleration,3.1,3.121431523,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33385,4393,Acceleration,3.1,3.084744848,pC/g,0,pC,+,06/06/2014,12
B&K,Accelerometer,33386,4393,Acceleration,3.1,3.071588775,pC/g,0,pC,+,26/07/2014,12
B&K,Accelerometer,33501,4393,Acceleration,3.1,3.115222718,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,33502,4393,Acceleration,3.1,3.101986203,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33503,4393,Acceleration,3.1,3.124422179,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33504,4393,Acceleration,3.1,3.121684964,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33505,4393,Acceleration,3.1,3.106353167,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33507,4393,Acceleration,3.1,3.085047465,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33508,4393,Acceleration,3.1,3.105560678,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33509,4393,Acceleration,3.1,3.140961391,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33510,4393,Acceleration,3.1,3.086270412,pC/g,0,pC,+,22/01/2015,12
B&K,Accelerometer,K018,4393,Acceleration,3.1,3.135012263,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K020,4393,Acceleration,3.1,3.131171483,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K022,4393,Acceleration,3.1,3.098821384,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K026,4393,Acceleration,3.1,3.145504306,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K028,4393,Acceleration,3.1,3.124291302,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K032,4393,Acceleration,3.1,3.112100086,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K033,4393,Acceleration,3.1,3.063331728,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K035,4393,Acceleration,3.1,3.115391045,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K036,4393,Acceleration,3.1,3.090174671,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K037,4393,Acceleration,3.1,3.144178213,pC/g,0,pC,+,22/07/2015,12
B&K,Accelerometer,K038,4393,Acceleration,3.1,3.168486791,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K039,4393,Acceleration,3.1,3.113745991,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K041,4393,Acceleration,3.1,3.078039851,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K047,4393,Acceleration,3.1,3.063474845,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K048,4393,Acceleration,3.1,3.073091131,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K050,4393,Acceleration,3.1,3.073496984,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K051,4393,Acceleration,3.1,3.059642412,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K052,4393,Acceleration,3.1,3.104874239,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K057,4393,Acceleration,3.1,3.08936831,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K060,4393,Acceleration,3.1,3.068029786,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K061,4393,Acceleration,3.1,3.10829999,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K066,4393,Acceleration,3.1,3.067130201,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K067,4393,Acceleration,3.1,3.054197436,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K068,4393,Acceleration,3.1,3.080417635,pC/g,0,pC,+,10/06/2014,12
